codigo,codigo_produto,descr_detalhada,descricao,url_imagem
FT100F35,10408353741,,BOMBA DE CALOR FT100 TRIFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/3e8605c94608206ad8b0705ab44b54d3/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=MGZQbNGqitiCozIDobL2Mmn19hs%3d
FT100F35T,10408353745,,BOMBA DE CALOR FT100 TRIFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/808929d327d28a52c95b33a9d4de2bab/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=CIjVoRpNEGbMBZUoKJDSs9oExgo%3d
FT100H35T,10408353748,,BOMBA DE CALOR FT100 TRIFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/acbc27cfde778b708c94e1388e7444c7/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=JgmNtL0Yotr1TklJk9Yb4FBWQX0%3d
FT100J35,10408353750,,BOMBA DE CALOR FT100 TRIFASICA 380V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/20159682f1913a074dd20f56fa6c09c3/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=4hwpIqi2x1Gan8IA4ki5ozvEBYg%3d
FT100J35T,10408353754,,BOMBA DE CALOR FT100 TRIFASICA 380V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/a13ab1a71e0339bb4a2138114e9acffc/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=Zidt630GpIwAq0oLEzbb17X5Skg%3d
FT100L35T,10408353757,,BOMBA DE CALOR FT100 TRIFASICA 380V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/a1b37d456f3dff42a8b204b4da2d8a4d/omie___ft100__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=6ZquDd4xKZ7Wq8fCxnPH8tOpFXc%3d
FT120B35T,10408353769,,BOMBA DE CALOR FT120 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/6f634f9c9cac83ee3f400979e28a66ed/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=5K5EYNskXgnWy%2fycZJ1udmC3LPQ%3d
FT120F35,10408353775,,BOMBA DE CALOR FT120 TRIFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/9d693321cad0cf97c839f1211c21002e/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751603888&Signature=UWVm8O4hUNWDOX9WvwlF0fK5Ubo%3d
FT120F35T,10408353779,,BOMBA DE CALOR FT120 TRIFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/358b67e492db0f9f01a039b4c1dc363c/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=w8%2bYcJ82wTxn%2bAiQJCCqmgdOnv0%3d
FT120H35T,10408353781,,BOMBA DE CALOR FT120 TRIFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/111250b0b33620ab58800a1c9e01aeb1/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=L3s29zZm9Cmw6xeYWwxnLqao87E%3d
FT120J35,10408353783,,BOMBA DE CALOR FT120 TRIFASICA 380V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/df579d721b9f48c1bf9a2b40758aae74/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=4rPOwXGllHfO0klanUmxnERPnio%3d
FT120J35T,10408353787,,BOMBA DE CALOR FT120 TRIFASICA 380V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/6dfbd15d1c53fc8b86748c4b85f99dad/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=QW5XRcZhN7s8fFu85IwmX88AXFg%3d
FT120L35T,10408353789,,BOMBA DE CALOR FT120 TRIFASICA 380V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/0b1bbcc736da200b5870a3d051832c35/omie___ft120__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=SiT0khMB7LdktIDN1EzLpnYh8c4%3d
FT160F35,10408353791,,BOMBA DE CALOR FT160 TRIFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/65bc8462dcdfd55f2c0d4858ccdf834a/omie___ft160__conv.jpg?response-content-type=image%2Fjpeg&AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1741886566&Signature=vpPU9JFRihWJ4X%2B7wdELHVFgK4k%3D
FT160F35T,10408353795,,BOMBA DE CALOR FT160 TRIFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/49972d6ad063b71eaac236b9bd4655a8/omie___ft160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=YcUGqGXTOJKqk%2fuzqASCs2eRPNw%3d
FT160H35T,10408353797,,BOMBA DE CALOR FT160 TRIFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/89ccfdc1a8eca84a3fd2496964b8f95e/omie___ft160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=%2fV%2fNd0NYU0AqLBLVJE8Zi8jkt%2bc%3d
FT160J35,10408353799,,BOMBA DE CALOR FT160 TRIFASICA 380V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/d0309820d64fd2aff6d886c0df57f709/omie___ft160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=YmRqHryMFzvWu2P%2bcyCPDXaDrCQ%3d
FT160J35T,10408353803,,BOMBA DE CALOR FT160 TRIFASICA 380V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/5063ed3f5a1cc3962250802fc9661ee9/omie___ft160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=yalZa7VbHmWwUNAla9yMqbQn7gk%3d
FT160L35T,10408353805,,BOMBA DE CALOR FT160 TRIFASICA 380V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/3e7294c6df32d78191c6375e59da9f46/omie___ft160__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=3GAoV%2b%2bFeLRpm%2bSWLfYoY3pZ3NI%3d
FT180F40,10408353807,,BOMBA DE CALOR FT180 TRIFASICA 220V 40C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/6523961636188a383d0e93ce9fb66775/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=RuviiFe9gTilUdpT%2fTVOVHsyP1c%3d
FT180F40T,10408353811,,BOMBA DE CALOR FT180 TRIFASICA 220V 40C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/ad7720ab129e4303735482fd72437e9d/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=bEfAWvXoGrmPmStERaoDEU0GeTg%3d
FT180H40T,10408353813,,BOMBA DE CALOR FT180 TRIFASICA 220V 40C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/09fd5df396c2acd52f8a6c23f7a1a898/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=edCzuJr9pWySCelv%2bBEQYT8LzqA%3d
FT180J40,10408353815,,BOMBA DE CALOR FT180 TRIFASICA 380V 40C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/e388efd98342653cc65e7d62d3c4013e/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=zvko8XVQ%2fzORU2MMKTp1q%2b%2bYEX0%3d
FT180J40T,10408353819,,BOMBA DE CALOR FT180 TRIFASICA 380V 40C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/5c52fdf9e25070992d378761650a8189/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=f63OXm0VGzgVZHoRH89bGgX1vLw%3d
FT180L40T,10408353821,,BOMBA DE CALOR FT180 TRIFASICA 380V 40C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/956d338b7a19282b8ddfa3d51b0928a2/omie___ft180__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=6n7C7Q5LvuU78FRlI%2fGAsxIr%2fno%3d
FT20B35,10408353823,,BOMBA DE CALOR FT20 MONOFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/a66713358c2ee0e01e0b0fc3a8c7d938/omie___ft20__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=DEonECwecLDBKFDWmkJ4tG%2fau7c%3d
FT20B35T,10408353827,,BOMBA DE CALOR FT20 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/60359228996f7897423f3f455c258d62/omie___ft20__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=C4IJ3NGmjS%2bqftmZTvYvlC12bjM%3d
FT240F40,10408353833,,BOMBA DE CALOR FT240 TRIFASICA 220V 40C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/70bdee25543999e4948d633ffbf67b0e/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=cTWYlmYGzoIDXXltkoqSwU7bhUw%3d
FT240F40T,10408353841,,BOMBA DE CALOR FT240 TRIFASICA 220V 40C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/33803f302f2ad94a68f1f1f532fd1a98/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=30564pWeiN3dpio7r9gUwGDyc8g%3d
FT240H40T,10408353843,,BOMBA DE CALOR FT240 TRIFASICA 220V 40C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/edd5bc97c798ed72c0c1c25447e8bbb8/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=afUubnKw0VIJ4yvpRdc%2f2c0LqYE%3d
FT240J40,10408353846,,BOMBA DE CALOR FT240 TRIFASICA 380V 40C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/640f8439929d981846fc8ea8b79ab09d/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=80VA7miKByJB3eu1Zy%2ffbohosos%3d
FT240J40T,10408353854,,BOMBA DE CALOR FT240 TRIFASICA 380V 40C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/b0367203508f3fb0a01a3f0668728684/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=5ugJ9JAxhjmp%2fruuCg%2f57L4fsEA%3d
FT240L40T,10408353858,,BOMBA DE CALOR FT240 TRIFASICA 380V 40C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/32d57d5bc7b7b330bbc1adce5cbfdfc0/omie___ft240__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658945&Signature=n8goq0MzVzE8WQxXjn%2ft%2bseFUnw%3d
FT25B35,10408353865,,BOMBA DE CALOR FT25 MONOFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/f0335dbdd072d9dc69c6f857197400e4/omie___ft25__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=iEzMtpLD312l%2f77rMxQYdQdbkM8%3d
FT25B35T,10408353871,,BOMBA DE CALOR FT25 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/ea86e5427731e8b253204a0cdd5e53d9/omie___ft25__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=2pSD4%2fb3RaV7Cin6E%2f0aQoYJBF4%3d
FT40B35,10408353879,,BOMBA DE CALOR FT40 MONOFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/c8130563a592c03a62343496a23292f1/omie___ft40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=eHNJZYYROIJ4n2BAAYawzQm9U8A%3d
FT40B35T,10408353886,,BOMBA DE CALOR FT40 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/e2bf1f09f992a7675cb9e34b5c518403/omie___ft40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=MKB4CBogr0GdlBh0AkHh9dhnXh4%3d
FT40D35T,10408353890,,BOMBA DE CALOR FT40 MONOFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/bc4ca63260f2dfa88d99d7f6721fb8d8/omie___ft40__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=WDqNfzDtsimIStWCqD%2fIm0ySWzI%3d
FT50B35,10408353892,,BOMBA DE CALOR FT50 MONOFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/53fe824a78d2f65cb84425f8e361621a/omie___ft50__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=z4DOpmtj%2bhzZOouP%2fBrg%2bbeAIPs%3d
FT50B35T,10408353898,,BOMBA DE CALOR FT50 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/c0bea7dc44871adc0254c1dff4c2533e/omie___ft50__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=QXp6RK0B%2f8v%2fJVcIcUB1ZuxLeGs%3d
FT50D35T,10408353900,,BOMBA DE CALOR FT50 MONOFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/1106db8b2ec8b84a55fc34069944c511/omie___ft50__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=DW7JmNyX6ar80MCXYBFyeL7CaOI%3d
FT60B35,10408353902,,BOMBA DE CALOR FT60 MONOFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/d6e76dc926e2879fac031d621d3ffe91/omie___ft60__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=zAJHg9CL4%2fkdrvelxF%2fQzt1gyIQ%3d
FT60B35T,10408353904,,BOMBA DE CALOR FT60 MONOFASICA 220V 35C TOUCH,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/fba7c113ef33cec9f749c953bd1daaae/omie___ft60__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=D30nIKZTC3Tq4cOE7glfVVlqAdI%3d
FT60D35T,10408353906,,BOMBA DE CALOR FT60 MONOFASICA 220V 35C TOUCH DEGELO,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/22d790913c01c294a25a0fbfba9ee01f/omie___ft60__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=imgVl0giTbVtEwY%2fl9u1CBc8wz4%3d
FT60F35,10408353908,,BOMBA DE CALOR FT60 TRIFASICA 220V 35C,https://cdn.omie.com.br/repository/be27d1256e26b56c94fabbac2803a262/6f02e2a9427cef0937e7537427ca336c/omie___ft60__conv.jpg?AWSAccessKeyId=AKIA4INFFOTWTGEJRBL5&Expires=1751658946&Signature=p6V0pSVQb%2fZLVSFDEXsL7jMVcCU%3d
